trial_id,recognize_zscore_mean,understand_zscore_mean,meaning_match_zscore_mean,natural_zscore_mean,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq,mean_accuracy,n_responses,mean_log_rt_zscore,mean_rt_ms,composite_score,trial_type
82.0,0.29769689354716633,0.12852651236921445,0.3369383509525108,0.19981528873849433,,82_non-creaky.wav,nafaʔ-b.wav,gs,t,gs-t,82,Final,82.png,177.png,test,allophone,non-creaky,نَفَق,نَفَت,tunnel;subway_shaft,deny;disavow;reject,نَفَق,نَفَت,6056.0,10423.0,1.0,16.0,0.4867902319815729,523.3125,0.24074426140184646,Accurate-Slow
224.0,0.11187668211483195,0.11378113322514433,0.21294281286859215,-0.5313538538351293,,224_creaky.wav,jafuːʔ-c.wav,gs,t,gs-t,80,Final,80.png,175.png,test,allophone,creaky,يَفوق,يَفوت,surpass;excel,expire;go_by,يَفوق,يَفوت,10956.0,1365.0,0.9375,16.0,0.45740797357986684,535.875,-0.023188306406640227,Ambiguous
231.0,-1.6905793687788115,-1.6749467829439768,-2.1522720760821565,-1.1275379239336225,,231_creaky.wav,ʔamːat-c.wav,gs,t,gs-t,87,Initial,87.png,182.png,test,allophone,creaky,قَمَّت,تَمَّت,sweep,conclude;take_place,قَمَّت,تَمَّت,1997.0,38873.0,0.9375,16.0,0.2210183908900622,467.0625,-1.6613340379346417,Ambiguous
42.0,0.4277710415498004,0.30989467584127695,0.5275814907565357,0.742567767648915,,42_non-creaky.wav,qalb-b.wav,q,k,q-k,42,Initial,44.png,139.png,test,phoneme,non-creaky,قَلب,كَلب,heart,dog,قَلب,كَلب,2704.0,21029.0,1.0,13.0,-0.08009826267567366,380.46153846153845,0.501953743949132,Accurate-Fast
14.0,0.33950644111944156,0.09977302303827772,0.43923466987174364,0.5288414028966251,,14_non-creaky.wav,jaqfɪl-b.wav,q,k,q-k,14,Medial,14.png,109.png,test,phoneme,non-creaky,يَقفِل,يَكفِل,to lock,to guarantee,يَقفِل,يَكفِل,,,1.0,15.0,-0.09040354681558745,402.0,0.351838884231522,Accurate-Fast
36.0,0.08090664687610954,0.04005423750479376,0.3369383509525108,0.08732772834255223,,36_non-creaky.wav,waqæːd-b.wav,q,k,q-k,36,Medial,36.png,131.png,test,phoneme,non-creaky,وَقاد,وَكاد,lead;guide,almost;hardly;no_sooner,وَقاد,وَكاد,5898.0,7904.0,1.0,17.0,-0.04979586558120904,393.1764705882353,0.1363067409189916,Accurate-Fast
12.0,-0.6314041636145056,-0.8200928792326297,-0.23809095691166196,-0.13905348695428127,,12_non-creaky.wav,jaqʃɪf-b.wav,q,k,q-k,12,Medial,12.png,107.png,test,phoneme,non-creaky,يَقشِف,يَكشِف,to live in squalor or misery,"to expose, uncover",يَقشِف,يَكشِف,,,1.0,14.0,-0.5951864986377252,304.42857142857144,-0.4571603716782697,Accurate-Fast
9.0,-1.0138840988127271,-0.5666127901369482,-0.7976208225153449,0.07467287779800875,,9_non-creaky.wav,jaqsɪr-b.wav,q,k,q-k,9,Medial,9.png,104.png,test,phoneme,non-creaky,يَقسِر,يَكسِر,to force or coerce,to break,يَقسِر,يَكسِر,2.0,1056.0,1.0,17.0,-0.43109645203832303,335.6470588235294,-0.5758612084167529,Accurate-Fast
28.0,0.4215770345020559,0.1727626498014248,0.46093388903642946,0.5372779699263206,,28_non-creaky.wav,qaːnuːn-b.wav,q,k,q-k,28,Initial,28.png,123.png,test,phoneme,non-creaky,قانون,كانون,law;statutes;regulations,stove,قانون,كانون,92378.0,101878.0,1.0,14.0,0.30040359434329117,455.92857142857144,0.3981378858165577,Accurate-Slow
34.0,0.39060699926333353,0.2612349246658455,0.21294281286859215,0.3685466293324075,,34_non-creaky.wav,waqarːar-b.wav,q,k,q-k,34,Medial,34.png,129.png,test,phoneme,non-creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138.0,12919.0,1.0,10.0,0.2966951673449262,478.3,0.3083328415325447,Accurate-Slow
