trial_id,recognize_zscore_mean,understand_zscore_mean,meaning_match_zscore_mean,natural_zscore_mean,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq,mean_accuracy,n_responses,mean_log_rt_zscore,mean_rt_ms,composite_score
87.0,-1.8082655026859566,-2.19216931292059,-2.063925255197364,-0.9138115591813325,,87_non-creaky.wav,ʔamːat-b.wav,gs,t,gs-t,87,Initial,87.png,182.png,test,allophone,non-creaky,قَمَّت,تَمَّت,sweep,conclude;take_place,قَمَّت,تَمَّت,1997.0,38873.0,0.9473684210526315,19,-0.017446560333384046,623.5263157894736,-1.7445429074963108
172.0,0.4277710415498004,0.2678703452806771,0.49813255046160504,0.23496765136222625,,172_creaky.wav,qaːnuːn-c.wav,q,k,q-k,28,Initial,28.png,123.png,test,phoneme,creaky,قانون,كانون,law;statutes;regulations,stove,قانون,كانون,92378.0,101878.0,0.8888888888888888,18,0.27313934269403584,929.2777777777778,0.3571853971635772
14.0,0.33950644111944156,0.09977302303827772,0.43923466987174364,0.5288414028966251,,14_non-creaky.wav,jaqfɪl-b.wav,q,k,q-k,14,Medial,14.png,109.png,test,phoneme,non-creaky,يَقفِل,يَكفِل,to lock,to guarantee,يَقفِل,يَكفِل,,,0.95,20,-0.002565589226894105,637.65,0.351838884231522
34.0,0.39060699926333353,0.2612349246658455,0.21294281286859215,0.3685466293324075,,34_non-creaky.wav,waqarːar-b.wav,q,k,q-k,34,Medial,34.png,129.png,test,phoneme,non-creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138.0,12919.0,0.9444444444444444,18,0.703526110673879,1435.9444444444443,0.3083328415325447
178.0,0.2839324334410675,0.16047483384803307,0.32143890869202096,0.13107289071875194,,178_creaky.wav,waqarːar-c.wav,q,k,q-k,34,Medial,34.png,129.png,test,phoneme,creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138.0,12919.0,0.95,20,0.054935243767746035,661.7,0.22422976667496836
38.0,0.25124184068908273,0.14179735359887755,0.17419420721736756,0.23496765136222625,,38_non-creaky.wav,waqiːl-b.wav,q,k,q-k,38,Medial,40.png,135.png,test,phoneme,non-creaky,وَقيل,وَكيل,be_said,representative;agent,وَقيل,وَكيل,5767.0,3581.0,0.8888888888888888,18,-0.1955300664883431,441.3333333333333,0.2005502632168885
40.0,0.17381675259227672,0.17276264980142483,0.2749405819105515,-0.8688165350229555,,40_non-creaky.wav,qawaː-b.wav,q,k,q-k,40,Initial,42.png,137.png,test,phoneme,non-creaky,قَوى,كَوى,power;forces,apertures;skylights,قَوى,كَوى,51772.0,3129.0,0.8888888888888888,18,0.43734979833239634,982.1666666666666,-0.06182413767967562
176.0,-0.572561096660933,-0.5454240520391668,-0.17919307632180062,-0.9939589459634413,,176_creaky.wav,taraq-c.wav,q,k,q-k,32,Final,32.png,127.png,test,phoneme,creaky,تَرَق,تَرَك,ascend;rise;promote,leave;quit,تَرَق,تَرَك,670.0,19302.0,0.7777777777777778,18,0.6362079689127075,1067.2777777777778,-0.5727842927463354
162.0,-0.8373548979520095,-0.7091953402532691,-1.7694358522480573,-0.4329272384886799,,162_creaky.wav,jaqʊfː-c.wav,q,k,q-k,18,Medial,18.png,113.png,test,phoneme,creaky,يَقُفّ,يَكُفّ,"to ruffle, to shrivel","to cease, to hem, to skirt",يَقُفّ,يَكُفّ,,,0.8,20,0.07222164484670629,692.85,-0.937228332235504
32.0,-1.1544536476462615,-1.3430623262089831,-0.6929134792444802,-0.6110325424489216,,32_non-creaky.wav,taraq-b.wav,q,k,q-k,32,Final,32.png,127.png,test,phoneme,non-creaky,تَرَق,تَرَك,ascend;rise;promote,leave;quit,تَرَق,تَرَك,670.0,19302.0,0.875,16,0.24042073544514023,634.5,-0.9503654988871616
