participant_id,prolific_id,timestamp_iso,trial_index,block,trial_id,audio_file,audio_url,target_image,distractor_image,target_side,left_image,right_image,choice,choice_image,is_correct,reaction_time_ms,headphone_type,timestamp_iso.1,recognize,understand,meaning_match,msa_dialect,natural,dialect_best,dialect_second,understand_other,msa_instruction,msa_vowels,msa_reading,msa_listening,other_languages,percent_english,percent_arabic,percent_other,language_switching,family_preference,age,gender,country_of_residence,attention_audio,attention_response,attention_index,final_feedback,completion_code
65f04e28869d1e36bcfe9bc2,65f04e28869d1e36bcfe9bc2,2026-01-28T07:34:30.250Z,,Survey,33.0,33_non-creaky.wav,,32.png,,,,,,,,,razer kraken,2026-01-28T07:34:30.250Z,3.0,,3.0,dialect,1.0,,,,,,,,,,,,,,,,,,,,,
68d6aebcb40c4b93989642c1,68d6aebcb40c4b93989642c1,2026-01-28T07:34:37.636Z,,Survey,245.0,245_creaky.wav,,118.png,,,,,,,,,Sony WH-CH520 over-ear headphones,2026-01-28T07:34:37.636Z,1.0,,4.0,both,3.0,,,,,,,,,,,,,,,,,,,,,
68cab84ebe4b9f5d7148e3dc,68cab84ebe4b9f5d7148e3dc,2026-01-28T07:34:41.373Z,,Survey,163.0,163_creaky.wav,,18.png,,,,,,,,,linsoul zero 2,2026-01-28T07:34:41.373Z,7.0,7.0,1.0,dialect,5.0,,,,,,,,,,,,,,,,,,,,,
68e3cfc22688ddaae48dc6c3,68e3cfc22688ddaae48dc6c3,2026-01-28T07:34:38.670Z,,Survey,88.0,88_non-creaky.wav,,96.png,,,,,,,,,Wired earbuds,2026-01-28T07:34:38.670Z,7.0,7.0,7.0,msa,7.0,,,,,,,,,,,,,,,,,,,,,
694ef288fcfc4439fcc94ef9,694ef288fcfc4439fcc94ef9,2026-01-28T07:34:37.491Z,,Survey,88.0,88_non-creaky.wav,,96.png,,,,,,,,,Galaxy buds pro,2026-01-28T07:34:37.491Z,6.0,6.0,6.0,both,6.0,,,,,,,,,,,,,,,,,,,,,
68d43a3c7fb9b4c1a9eee9af,68d43a3c7fb9b4c1a9eee9af,2026-01-28T07:34:42.860Z,,Survey,28.0,28_non-creaky.wav,,28.png,,,,,,,,,Oraimo earbuds,2026-01-28T07:34:42.860Z,7.0,7.0,7.0,msa,7.0,,,,,,,,,,,,,,,,,,,,,
68d3fde63f2c4007620e15d0,68d3fde63f2c4007620e15d0,2026-01-28T07:34:43.782Z,,Survey,40.0,40_non-creaky.wav,,42.png,,,,,,,,,Oraimo free pods 3C,2026-01-28T07:34:43.782Z,7.0,7.0,7.0,msa,7.0,,,,,,,,,,,,,,,,,,,,,
65f04e28869d1e36bcfe9bc2,65f04e28869d1e36bcfe9bc2,2026-01-28T07:34:42.012Z,,Survey,167.0,167_creaky.wav,,23.png,,,,,,,,,razer kraken,2026-01-28T07:34:42.012Z,7.0,7.0,7.0,msa,7.0,,,,,,,,,,,,,,,,,,,,,
68e3cfc22688ddaae48dc6c3,68e3cfc22688ddaae48dc6c3,2026-01-28T07:34:47.071Z,,Survey,115.0,115_non-creaky.wav,,143.png,,,,,,,,,Wired earbuds,2026-01-28T07:34:47.071Z,7.0,7.0,7.0,msa,7.0,,,,,,,,,,,,,,,,,,,,,
68c831e4060bd0ef510259ca,68c831e4060bd0ef510259ca,2026-01-28T07:34:47.749Z,,Survey,257.0,257_creaky.wav,,141.png,,,,,,,,,Havit gamenote H2007U,2026-01-28T07:34:47.749Z,7.0,7.0,7.0,both,7.0,,,,,,,,,,,,,,,,,,,,,
68d6aebcb40c4b93989642c1,68d6aebcb40c4b93989642c1,2026-01-28T07:34:50.308Z,,Survey,105.0,105_non-creaky.wav,,123.png,,,,,,,,,Sony WH-CH520 over-ear headphones,2026-01-28T07:34:50.308Z,7.0,7.0,1.0,both,6.0,,,,,,,,,,,,,,,,,,,,,
694ef288fcfc4439fcc94ef9,694ef288fcfc4439fcc94ef9,2026-01-28T07:34:51.339Z,,Survey,203.0,203_creaky.wav,,64.png,,,,,,,,,Galaxy buds pro,2026-01-28T07:34:51.339Z,6.0,6.0,6.0,both,5.0,,,,,,,,,,,,,,,,,,,,,
