participant_id,prolific_id,timestamp_iso,trial_index,block,trial_id,audio_file,audio_url,target_image,distractor_image,target_side,left_image,right_image,choice,choice_image,is_correct,reaction_time_ms,headphone_type,timestamp_iso.1,recognize,understand,meaning_match,msa_dialect,natural,dialect_best,dialect_second,understand_other,msa_instruction,msa_vowels,msa_reading,msa_listening,other_languages,percent_english,percent_arabic,percent_other,language_switching,family_preference,age,gender,country_of_residence,attention_audio,attention_response,attention_index,final_feedback,completion_code
68cab84ebe4b9f5d7148e3dc,68cab84ebe4b9f5d7148e3dc,2026-01-28T07:54:50.402Z,,Demographics-Language,,,,,,,,,,,,,linsoul zero 2,2026-01-28T07:54:50.402Z,,,,,,,,,,,,,Japanese,40.0,40.0,20.0,1.0,7.0,25.0,male,Japan,,,,,
68e3cfc22688ddaae48dc6c3,68e3cfc22688ddaae48dc6c3,2026-01-28T07:55:39.377Z,,Demographics-Language,,,,,,,,,,,,,Wired earbuds,2026-01-28T07:55:39.377Z,,,,,,,,,,,,,Korean,36.0,54.0,10.0,7.0,5.0,29.0,Female ,Egypt ,,,,,
68d3fde63f2c4007620e15d0,68d3fde63f2c4007620e15d0,2026-01-28T08:08:27.217Z,,Demographics,,,,,,,,,,,,,Oraimo free pods 3C,2026-01-28T08:08:27.217Z,,,,,,Egyptian,"Syrian,gulf,bahraini",6.0,yes,7.0,7.0,7.0,,,,,,,,,,,,,,
68d3fde63f2c4007620e15d0,68d3fde63f2c4007620e15d0,2026-01-28T08:10:08.521Z,,Demographics-Language,,,,,,,,,,,,,Oraimo free pods 3C,2026-01-28T08:10:08.521Z,,,,,,,,,,,,,,30.0,70.0,0.0,6.0,6.0,25.0,Female,Egypt,,,,,
694ef288fcfc4439fcc94ef9,694ef288fcfc4439fcc94ef9,2026-01-28T08:26:41.467Z,,Demographics,,,,,,,,,,,,,Galaxy buds pro,2026-01-28T08:26:41.467Z,,,,,,Algerian ,Standard ,6.0,yes,5.0,5.0,5.0,,,,,,,,,,,,,,
694ef288fcfc4439fcc94ef9,694ef288fcfc4439fcc94ef9,2026-01-28T08:28:33.184Z,,Demographics-Language,,,,,,,,,,,,,Galaxy buds pro,2026-01-28T08:28:33.184Z,,,,,,,,,,,,,French,34.0,33.0,33.0,5.0,5.0,26.0,female ,france ,,,,,
68c831e4060bd0ef510259ca,68c831e4060bd0ef510259ca,2026-01-28T08:32:14.225Z,,Demographics-Language,,,,,,,,,,,,,Havit gamenote H2007U,2026-01-28T08:32:14.225Z,,,,,,,,,,,,,Spanish,37.0,58.0,5.0,6.0,5.0,21.0,Male,Egypt,,,,,
65f04e28869d1e36bcfe9bc2,65f04e28869d1e36bcfe9bc2,2026-01-28T08:34:52.480Z,,Demographics,,,,,,,,,,,,,razer kraken,2026-01-28T08:34:52.480Z,,,,,,Algerian,none,7.0,no,7.0,7.0,7.0,,,,,,,,,,,,,,
65f04e28869d1e36bcfe9bc2,65f04e28869d1e36bcfe9bc2,2026-01-28T08:36:06.908Z,,Demographics-Language,,,,,,,,,,,,,razer kraken,2026-01-28T08:36:06.908Z,,,,,,,,,,,,,French,20.0,75.0,5.0,2.0,2.0,21.0,male,Algeria,,,,,
68d43a3c7fb9b4c1a9eee9af,68d43a3c7fb9b4c1a9eee9af,2026-01-28T08:39:33.336Z,,Demographics,,,,,,,,,,,,,Oraimo earbuds,2026-01-28T08:39:33.336Z,,,,,,Egyptian,none,7.0,yes,7.0,7.0,7.0,,,,,,,,,,,,,,
68d43a3c7fb9b4c1a9eee9af,68d43a3c7fb9b4c1a9eee9af,2026-01-28T08:42:15.704Z,,Demographics-Language,,,,,,,,,,,,,Oraimo earbuds,2026-01-28T08:42:15.704Z,,,,,,,,,,,,,Italian,30.0,50.0,20.0,6.0,7.0,28.0,female,Egypt,,,,,
6960de0ad3223c83f5fbdf92,6960de0ad3223c83f5fbdf92,2026-01-28T09:10:21.979Z,,Demographics,,,,,,,,,,,,,Jabra Over Ears,2026-01-28T09:10:21.979Z,,,,,,Egyptian,none,7.0,yes,7.0,6.0,6.0,,,,,,,,,,,,,,
6960de0ad3223c83f5fbdf92,6960de0ad3223c83f5fbdf92,2026-01-28T09:11:15.802Z,,Demographics-Language,,,,,,,,,,,,,Jabra Over Ears,2026-01-28T09:11:15.802Z,,,,,,,,,,,,,none,50.0,50.0,0.0,7.0,7.0,27.0,female,Egypt,,,,,
