trial_id,recognize_zscore_mean,understand_zscore_mean,meaning_match_zscore_mean,natural_zscore_mean,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq,mean_accuracy,n_responses,mean_log_rt_zscore,mean_rt_ms,composite_score,trial_type,is_hardcoded
34.0,0.39060699926333353,0.2612349246658455,0.21294281286859215,0.3685466293324075,,34_non-creaky.wav,waqarːar-b.wav,q,k,q-k,34,Medial,34.png,129.png,test,phoneme,non-creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138.0,12919.0,1.0,10.0,0.2966951673449262,478.3,0.3083328415325447,Accurate-Slow,True
172.0,0.4277710415498004,0.2678703452806771,0.49813255046160504,0.23496765136222625,,172_creaky.wav,qaːnuːn-c.wav,q,k,q-k,28,Initial,28.png,123.png,test,phoneme,creaky,قانون,كانون,law;statutes;regulations,stove,قانون,كانون,92378.0,101878.0,0.9230769230769231,13.0,-0.14537929042673753,415.0,0.3571853971635772,Ambiguous,False
162.0,-0.8373548979520095,-0.7091953402532691,-1.7694358522480573,-0.4329272384886799,,162_creaky.wav,jaqʊfː-c.wav,q,k,q-k,18,Medial,18.png,113.png,test,phoneme,creaky,يَقُفّ,يَكُفّ,"to ruffle, to shrivel","to cease, to hem, to skirt",يَقُفّ,يَكُفّ,,,0.9230769230769231,13.0,0.24389304646701532,461.9230769230769,-0.937228332235504,Ambiguous,False
67.0,0.41469480444900647,0.3472496363395879,0.5177651773248921,0.665388802599477,,67_non-creaky.wav,ʔælʕɑqiːd-b.wav,q,t,q-t,67,Medial,74.png,169.png,test,phoneme,non-creaky,العَقيد,العَتيد,colonel,prepared,العَقيد,العَتيد,12868.0,2069.0,1.0,17.0,-0.006630793192172759,378.47058823529414,0.4862746051782409,Accurate-Fast,
77.0,0.33950644111944156,0.30989467584127695,0.49813255046160504,0.7158519720548787,,77_non-creaky.wav,ʕaqaba-b.wav,q,t,q-t,77,Medial,85.png,180.png,test,phoneme,non-creaky,عَقَبَة,عَتَبَة,obstacle;Aqaba(Jordan),step;stair;threshold,عَقَبَة,عَتَبَة,3346.0,7966.0,1.0,14.0,0.006130699718456522,394.92857142857144,0.4658464098693006,Accurate-Fast,
74.0,0.4215770345020559,0.34970719953026624,0.49193277355740905,0.7341312006192193,,74_non-creaky.wav,nafaq-b.wav,q,t,q-t,74,Final,82.png,177.png,test,phoneme,non-creaky,نَفَق,نَفَت,tunnel;subway_shaft,deny;disavow;reject,نَفَق,نَفَت,6056.0,10423.0,1.0,17.0,0.13728807850750765,415.0,0.4993370520522376,Accurate-Slow,
66.0,0.4525470697407783,0.30547106209805586,0.49193277355740905,0.5653998600253062,,66_non-creaky.wav,faqɾa-b.wav,q,t,q-t,66,Medial,73.png,168.png,test,phoneme,non-creaky,فَقرة,فَترة,paragraph;clause,phase;time_period;interval,فَقرة,فَترة,13023.0,109530.0,1.0,14.0,0.26540675524787877,461.92857142857144,0.4538376913553873,Accurate-Slow,
217.0,0.4277710415498004,0.30989467584127695,0.5275814907565357,0.28839924255029875,,217_creaky.wav,qasˤiːr-c.wav,q,t,q-t,73,Initial,81.png,176.png,test,phoneme,creaky,قَصير,تَصير,short;small,become;begin_to,قَصير,تَصير,8833.0,3536.0,0.9230769230769231,13.0,-0.2103278686089983,370.0769230769231,0.38841161267447794,Ambiguous,
216.0,0.31662302619305227,0.06708743260225564,0.38688099823631134,0.27949397735228665,,216_creaky.wav,jafuːq-c.wav,q,t,q-t,72,Final,80.png,175.png,test,phoneme,creaky,يَفوق,يَفوت,surpass;excel,expire;go_by,يَفوق,يَفوت,10956.0,1365.0,0.9230769230769231,13.0,-0.19592632705797985,392.9230769230769,0.2625213585959765,Ambiguous,
63.0,0.4525470697407783,0.30547106209805586,0.5539305425993684,0.5935217501242916,,63_non-creaky.wav,ʔælmʊlæːʔɪm-b.wav,ʔ,k,ʔ-k,63,Medial,69.png,164.png,test,phoneme,non-creaky,المُلائِم,المُلاكِم,suitable;appropriate,boxer;pugilist,المُلائِم,المُلاكِم,5061.0,1778.0,1.0,16.0,-0.04460422720265325,410.625,0.47636760614062357,Accurate-Fast,
56.0,0.36892797459622784,0.35191900640187673,0.49813255046160504,0.6624203808668062,,56_non-creaky.wav,ʔɪntɪhæːʔ-b.wav,ʔ,k,ʔ-k,56,Final,61.png,156.png,test,phoneme,non-creaky,اِنْتِهاء,اِنْتِهاك,finishing;completion;conclusion,exhaustion,اِنْتِهاء,اِنْتِهاك,59925.0,6516.0,1.0,11.0,-0.0746481144499861,407.45454545454544,0.4703499780816289,Accurate-Fast,
205.0,0.36892797459622784,0.30989467584127695,0.5275814907565357,0.101388673392045,,205_creaky.wav,ʔærːæːʔɪd-c.wav,ʔ,k,ʔ-k,61,Medial,67.png,162.png,test,phoneme,creaky,الرّائِد,الرّاكِد,leader;explorer;pioneer,stagnant;sluggish;tranquil,الرّائِد,الرّاكِد,8609.0,256.0,1.0,14.0,0.19914616300937998,438.2142857142857,0.3269482036465214,Accurate-Slow,
202.0,0.4215770345020559,0.34970719953026624,0.5539305425993684,-0.025159832053389838,,202_creaky.wav,taʔliːf-c.wav,ʔ,k,ʔ-k,58,Medial,63.png,158.png,test,phoneme,creaky,تَأليف,تَكليف,authoring;composing;constituting,charging;commissioning,تَأليف,تَكليف,15041.0,3958.0,1.0,14.0,0.4713646765817464,572.5,0.3250137361445751,Accurate-Slow,
45.0,0.4525470697407783,0.3939433369624766,0.49193277355740905,0.7060093105202337,,45_non-creaky.wav,ʔʊriːd-b.wav,ʔ,t,ʔ-t,45,Initial,47.png,142.png,test,phoneme,non-creaky,أُريد,تُريد,want;desire;intend,want;desire;intend,أُريد,تُريد,59771.0,17337.0,1.0,15.0,-0.03022075280359114,396.3333333333333,0.5111081226952244,Accurate-Fast,
3.0,0.39060699926333353,0.30547106209805586,0.46093388903642946,0.6778874204212483,,3_non-creaky.wav,jʊʔaʒɪr-b.wav,ʔ,t,ʔ-t,3,Medial,3.png,98.png,test,phoneme,non-creaky,يُؤَجِر,يُتَجِر,to rent out,to trade,يُؤَجِر,يُتَجِر,,,1.0,15.0,-0.2475905707119445,341.46666666666664,0.45872484270476677,Accurate-Fast,
47.0,0.4277710415498004,0.30989467584127695,0.5570304310514664,0.7158519720548787,,47_non-creaky.wav,ʔarfʊdˤ-b.wav,ʔ,t,ʔ-t,47,Initial,50.png,145.png,test,phoneme,non-creaky,أرفُض,تَرفُض,reject;refuse,reject;refuse,أرفُض,تَرفُض,1387.0,26804.0,1.0,15.0,0.03650320408033926,421.8666666666667,0.5026370301243556,Accurate-Slow,
198.0,0.4277710415498004,0.30989467584127695,0.49813255046160504,0.04795708220397249,,198_creaky.wav,ʔaquːl-c.wav,ʔ,t,ʔ-t,54,Medial,57.png,152.png,test,phoneme,creaky,أقول,تَقول,say,say,أقول,تَقول,14036.0,49261.0,1.0,16.0,0.11735589045752977,403.875,0.32093883751416374,Accurate-Slow,
49.0,0.36892797459622784,0.14179735359887755,0.3803367892818823,0.6624203808668063,,49_non-creaky.wav,ʔamæːm-b.wav,ʔ,t,ʔ-t,49,Initial,52.png,147.png,test,phoneme,non-creaky,أمام,تَمام,front;forward,exact;complete,أمام,تَمام,431358.0,2310.0,0.9285714285714286,14.0,0.23324928895088684,465.2857142857143,0.3883706245859485,Ambiguous,
195.0,0.19239877373551018,0.2678703452806771,0.17419420721736756,-0.1390534869542812,,195_creaky.wav,ʔʊdˤɑf-c.wav,ʔ,t,ʔ-t,51,Initial,54.png,149.png,test,phoneme,creaky,أُضاف,تُضاف,add,be_added,أُضاف,تُضاف,31214.0,4876.0,0.9,10.0,0.050044570962161625,399.3,0.1238524598198184,Ambiguous,
