Trial,TargetWordAudioFile,Target,Condition,CarrierType,Group,TargetDisplay,DistractorDisplay
84,dayton_gs_c,Dayton,gs,creaky,nasal,dayton,dane
85,atlas_gs_c,atlas,gs,creaky,sonorant,atlas,Alice
86,motley_gs_c,motley,gs,creaky,sonorant,motley,Molly
87,whitney_gs_c,Whitney,gs,creaky,sonorant,whitney,whinny
88,witless_gs_c,witless,gs,creaky,sonorant,witless,Willis
89,settler_gs_c,settler,gs,creaky,sonorant,settler,seller
90,greatness_gs_c,greatness,gs,creaky,sonorant,greatness,grayness
91,curtly_gs_c,curtly,gs,creaky,sonorant,curtly,curly
92,dent_gs_c,dent,gs,creaky,orthographic,dent,den
93,jaunt_gs_c,jaunt,gs,creaky,orthographic,jaunt,John
94,tint_gs_c,tint,gs,creaky,orthographic,tint,tin
95,lint_gs_c,lint,gs,creaky,orthographic,lint,Lynn
96,font_gs_c,font,gs,creaky,orthographic,font,fawn
97,paint_gs_c,paint,gs,creaky,orthographic,paint,pain
98,faint_gs_c,faint,gs,creaky,orthographic,faint,feign
99,button_gs2_c,button,gs2,creaky,nasal,button,bun
100,rotten_gs2_c,rotten,gs2,creaky,nasal,rotten,Ron
101,gotten_gs2_c,gotten,gs2,creaky,nasal,gotten,gone
102,beaten_gs2_c,beaten,gs2,creaky,nasal,beaten,bean
103,keaton_gs2_c,Keaton,gs2,creaky,nasal,keaton,keen
104,satan_gs2_c,satan,gs2,creaky,nasal,satan,sane
105,dayton_gs2_c,Dayton,gs2,creaky,nasal,dayton,dane
106,atlas_gs2_c,atlas,gs2,creaky,sonorant,atlas,Alice
107,motley_gs2_c,motley,gs2,creaky,sonorant,motley,Molly
108,whitney_gs2_c,Whitney,gs2,creaky,sonorant,whitney,whinny
109,witless_gs2_c,witless,gs2,creaky,sonorant,witless,Willis
110,settler_gs2_c,settler,gs2,creaky,sonorant,settler,seller
111,greatness_gs2_c,greatness,gs2,creaky,sonorant,greatness,grayness
112,curtly_gs2_c,curtly,gs2,creaky,sonorant,curtly,curly
113,bun_b,bun,none,noncreaky,nasal,bun,button
114,ron_b,Ron,none,noncreaky,nasal,Ron,rotten
115,gone_b,gone,none,noncreaky,nasal,gone,gotten
116,bean_b,bean,none,noncreaky,nasal,bean,beaten
117,keen_b,keen,none,noncreaky,nasal,keen,keaton
118,sane_b,sane,none,noncreaky,nasal,sane,satan
119,dane_b,dane,none,noncreaky,nasal,dane,dayton
120,alice_b,Alice,none,noncreaky,sonorant,Alice,atlas
121,molly_b,Molly,none,noncreaky,sonorant,Molly,motley
122,whinny_b,whinny,none,noncreaky,sonorant,whinny,whitney
123,willis_b,Willis,none,noncreaky,sonorant,Willis,witless
124,seller_b,seller,none,noncreaky,sonorant,seller,settler
125,grayness_b,grayness,none,noncreaky,sonorant,grayness,greatness
126,curly_b,curly,none,noncreaky,sonorant,curly,curtly
127,den_b,den,none,noncreaky,orthographic,den,dent
128,john_b,John,none,noncreaky,orthographic,John,jaunt
129,tin_b,tin,none,noncreaky,orthographic,tin,tint
130,lynn_b,Lynn,none,noncreaky,orthographic,Lynn,lint
131,fawn_b,fawn,none,noncreaky,orthographic,fawn,font
132,pain_b,pain,none,noncreaky,orthographic,pain,paint
133,feign_b,feign,none,noncreaky,orthographic,feign,faint
134,bun_c,bun,none,creaky,nasal,bun,button
135,ron_c,Ron,none,creaky,nasal,Ron,rotten
136,gone_c,gone,none,creaky,nasal,gone,gotten
137,bean_c,bean,none,creaky,nasal,bean,beaten
138,keen_c,keen,none,creaky,nasal,keen,keaton
139,sane_c,sane,none,creaky,nasal,sane,satan
140,dane_c,dane,none,creaky,nasal,dane,dayton
141,alice_c,Alice,none,creaky,sonorant,Alice,atlas
142,molly_c,Molly,none,creaky,sonorant,Molly,motley
143,whinny_c,whinny,none,creaky,sonorant,whinny,whitney
144,willis_c,Willis,none,creaky,sonorant,Willis,witless
145,seller_c,seller,none,creaky,sonorant,seller,settler
146,grayness_c,grayness,none,creaky,sonorant,grayness,greatness
147,curly_c,curly,none,creaky,sonorant,curly,curtly
148,den_c,den,none,creaky,orthographic,den,dent
149,john_c,John,none,creaky,orthographic,John,jaunt
150,tin_c,tin,none,creaky,orthographic,tin,tint
151,lynn_c,Lynn,none,creaky,orthographic,Lynn,lint
152,fawn_c,fawn,none,creaky,orthographic,fawn,font
153,pain_c,pain,none,creaky,orthographic,pain,paint
154,feign_c,feign,none,creaky,orthographic,feign,faint
